License Number;Entity Name;Camis Trade Name;Address Bldg;Address Street Name;Address Location;Address City
781040;HERMES LAUNDROMAT   INC.;;24-03;  23 AVENUE;;ASTORIA
811447;67 LAUNDROMAT INC;;67-01;WOODSIDE AVENUE;;WOODSIDE
815341;ROSCIGNO, FRANK;FRANK'S LAUNDRY;42-01;  34 AVENUE;;QUEENS
817684;SKAHG MAINTENANCE INC.;;425;   7 AVENUE;;BROOKLYN
817934;BWAY-PILLING LAUNDROMAT INC;;1785;BROADWAY;;BROOKLYN
833529;BIRDHAR INC.;;351;EAST   82 STREET;;MANHATTAN
854193;PRO-WASH INC;;1707;NOSTRAND AVENUE;;BROOKLYN
854457;83-29 PARSONS LAUNDROMAT CORP;;83-29;PARSONS BOULEVARD;;QUEENS
855212;THOMPSON, GLORIA;G'S LAUNDRYMAT;315;NOSTRAND AVENUE;;BROOKLYN
887007;KAREN & KARLA CORP;;63;BUSHWICK AVENUE;;BROOKLYN
889825;KING'S HIGHWAY WASHMAT, INC.;;317;KINGS HIGHWAY;;BROOKLYN
891376;KNAPIC, MARIO AND KNAPIC BISERKA;M & B LAUNDROMAT;28-20;CRESCENT STREET;;QUEENS
894480;ROZANNO INC;CYCLES LAUNDROMAT;317;BRADLEY AVENUE;;STATEN ISLAND
898174;I & C LAUNDROMAT INC;;4203;HYLAN BOULEVARD;;STATEN ISLAND
898213;SHEN INC;;97-14;  37 AVENUE;;CORONA
899374;ZABLOCKI, KRYSTYNA;KRYSTYNA LAUNDROMAT;75;BERRY STREET;;BROOKLYN
905509;KONG, APRIL;TOM'S LAUNDRY;424;FOSTER AVENUE;;BROOKLYN
911496;SUAREZ, EDWIN;EDDIES WASH AND DRY PLUS;898;EAST  180 STREET;;BRONX
912130;HE, MENG CHANG;FIVE CORNERS LAUNDROMAT;1123;WASHINGTON AVENUE;;BROOKLYN
918170;ELEZOVIC, ROZA;NINE STREET LAUNDROMAT;34-10;   9 STREET;;L I CITY
918938;R & S LAUNDROMAT INC;R & S LAUNDROMAT;2051-53;WILLIAMSBRIDGE ROAD;;BRONX
927029;O'HENRY LAUNDROMAT INC;;37;HENRY STREET;;NEW YORK
927648;CLEAN WASHLAND INC;;84-52;ELIOT AVENUE;;QUEENS
927666;OH, YEONG RYE;DAMOWA DRY CLEANING & LAUNDRY CENTER;280;MARSH AVENUE;;STATEN ISLAND
932361;TAK MING INC.;MISTER SUDS LAUNDROMAT;632;CATON AVENUE;;BROOKLYN
936349;80TH ST CLEANERS INC;PIERMONT EAST;245;EAST   80 STREET;;NEW YORK
942353;HUANG, PEI YAN;HUANG'S LAUNDRY & DRY CLEANING;215;EAST   26 STREET;;NEW YORK
949598;S.I. SUPERLEAN, INC.;;2435;HYLAN BOULEVARD;;STATEN ISLAND
956895;A G HOPE, INC;;259;   3 AVENUE;;NEW YORK
976718;LILY-WHITE LAUNDROMAT INC;XL CORORTION SERVICES INC;85-15;MAIN STREET;;QUEENS
977428;SPOTLESS CLEANING LTD.;;419;MADISON STREET;;BROOKLYN
978434;NEREID LAUNDRY INC;;2630;UNIVERSITY AVENUE;;BRONX
988829;WING HING LAUNDROMAT INC.;;97;QUENTIN ROAD;;BROOKLYN
990576;WOOK CORPORATION;MONACO CLEANERS & LAUNDERERS;2580;NOSTRAND AVENUE;;BROOKLYN
992900;GREMI LAUNDROMAT INC.;;93-11;ROOSEVELT AVENUE;;QUEENS
997743;CHRISTY LAUNDROMAT, INC;;2195;MORRIS AVENUE;;BRONX
998800;PUN, FU TAI;SUPER LAUNDRY;355;SMITH STREET;;BROOKLYN
999034;CEBRA LAUNDROMAT INC;;10;CEBRA AVENUE;;STATEN ISLAND
1002005;BAI,SHANPING;PING'S LAUNDROMAT;199-06;  32 AVENUE;;QUEENS
1002894;TOMPKINS LAUNDROMAT INC;;62;TOMPKINS AVENUE;;BROOKLYN
1002976;998, INC;;43-15;  28 AVENUE;;QUEENS
456070;GRAHAM, CLINTON;C & G LAUNDROMAT;119-08;SUTPHIN BOULEVARD;;JAMAICA
