License Number;Entity Name;Camis Trade Name;Address Bldg;Address Street Name;Address Location;Address City
890888;BANDO CLEANERS INC;TOWER WEST CLEANERS;161;AMSTERDAM AVENUE;;MANHATTAN
890981;PARK SLOPE WASH CENTER INC;;261;FLATBUSH AVE;;BROOKLYN
893280;CHEN, YUK CHUN;THRIFT-O-WASH;8920;   3 AVENUE;;BROOKLYN
893285;DIFEDE, ANTONIO &   DIFEDE, ROSA DIFEDE, ROSA;TONY'S EUROPEAN CLEANERS & TAILORS;72-07;GRAND AVENUE;;MASPETH
893749;YAE, WON H;SUPER LAUNDERCENTER;2235;GRAND CONCOURSE;;BRONX
894633;LEUNG, JOHN;CHEONG MING CO;83-25;PARSONS BOULEVARD;;JAMAICA
895117;GERMAIN, BIBI Z;ZABEEDA'S LAUNDROMAT;76;MILLER AVENUE;;BROOKLYN
897867;1002 KARISS FRENCH CLEANERS CORP;;1002;ROSSVILLE AVENUE;;STATEN ISLAND
902777;WONG, YOKE MOY;VALET 52 EAST;302;EAST   52 STREET;;NEW YORK
903205;J & J CLEANERS INC;;172-18;  46 AVENUE;;FLUSHING
906198;JESSICA PARK;HI-TOP CLEANERS;1374;YORK AVENUE;;NEW YORK
919635;P & D LAUNDROMAT LTD;P & D LAUNDROMAT;5678;MOSHOLU AVENUE;;BRONX
920577;CHAN, KA-TING;TOY CHAN LAUNDRY;262;WEST   77 STREET;;NEW YORK
934085;WL LAUNDRY SERVICE INC;;82-40;LEFFERTS BOULEVARD;;KEW GARDENS
938120;RICHARDS, LASCELLES;ADNAK SUDS LAUNDROMAT;1093;RUTLAND ROAD;;BROOKLYN
942113;DU HONG WASHERTERIA, INC;;37;LINCOLN ROAD;;BROOKLYN
943852;GUYANA ENTERPRISE INC;;104-07; 123 STREET;1ST FLOOR;RICHMOND HILL
954001;OCEAN VIEW LAUNDROMAT INC;;521-527;OCEAN AVE;;NEW YORK
954107;CLEAN ACTION LAUNDROMAT INC;;3476;BROADWAY;;NEW YORK
955954;HANADY CORPORATION;;81;LAFAYETTE AVENUE;;BROOKLYN
969954;CHIU, HO SHEUNG HENRY;GOODY LAUNDROMAT & DRY CLEANERS;6108;   5 AVENUE;;BROOKLYN
977030;CLEAN RITE CENTER-EMPIRE BLVD LLC;;259;EMPIRE BOULEVARD;;BROOKLYN
977055;CHIN, LAI W;CHIN'S LAUNDROMAT;8315;  20 AVENUE;;BROOKLYN
977137;NEPOMNYASHCHIY, MIKHAIL;LUCKY MIKE'S LAUNDRY;1612;AVENUE Z;;BROOKLYN
978614;ALPHA LAUNDROMAT INC;;43-14;  34 AVENUE;;QUEENS
986971;KANG & KANGHEE INC;;129;WEST   72 STREET;;NEW YORK
989505;ETNA STREET LAUNDROMAT & CLEANERS, INC;;380;ETNA STREET;;BROOKLYN
999682;WON FEI YUN;WONG LAUNDROMAT;1502;AVENUE H;;BROOKLYN
1000573;D & K LAUNDRY INC;;2175;STARLING AVENUE;;BRONX
1001555;GEORGE, ELSIE;LAUNDER CENTER;2460;DAVIDSON AVENUE;;BRONX
1001759;THE NATIONAL KEYSTONE FOR SERVICES, INC;QUALITY WASH;587;MIDLAND AVENUE;;STATEN ISLAND
1001913;CLEAN RITE CENTERS - 442 39 STREET, LLC;;442;  39 STREET;;BROOKLYN
1001922;SUPER BAXTER LAUNDRY INC;;82-10;BAXTER AVENUE;;QUEENS
1002922;YIP, YIU LAM;;2113;BATH AVENUE;;BROOKLYN
524060;102 WEST LAUNDROMAT CORP;;102;WEST   71 STREET;;NEW YORK
527675;SETO, WILLIAM;LAUNDROMAT;65-28;MYRTLE AVENUE;;QUEENS
570937;C & D LAUNDRY INC;;264;KINGSTON AVENUE;;BROOKLYN
622520;KONG, KEE VOIR;SCHENLEY'S LAUNDROMAT;86-15;NORTHERN BOULEVARD;;QUEENS
628439;BERNARD LAUNDROMAT CORP;;173-17;JAMAICA AVENUE;;QUEENS VILLAGE
628612;ALPHONSO, LEWIS;;4124;AVENUE D;;BKLYN
677988;PRASINOS, MAROUSA;;23-19;  24 AVENUE;;L I CITY
698851;LAI, KAI MUN;K M CLEANERS;1629;RALPH AVENUE;;BKLYN
807305;WORRELL, ELSWORTH;TROY WASHERMAT;325;TROY AVENUE;;BKLYN
809472;LEONG, FOOK THONG & LEONG, SHOO MOI;NAJAY CLEANERS;230;PROSPECT PARK WEST;;BKLYN
815099;LUCIEN, JEAN;HALSEY LAUNDROMAT;511;HALSEY STREET;;BKLYN
816645;LE PORE DRY CLEANERS INC;MARIO'S FRENCH CLEANERS;191;NEW DORP LANE;;STATEN ISLAND
817185;HARIC LAUNDRY INC.;;335;EAST   65 STREET;;NEW YORK
837346;WHITEPOINT CLEANERS INC;;132-07;  14 AVENUE;;COLLEGE POINT
851729;C.D. DITMARS LAUNDRY INC;;24-19;DITMARS BOULEVARD;;QUEENS
854694;YU, DING YIN;DRY CLEANING LAUNDRY WASH CENTER;65-11;METROPOLITAN AVENUE;;MIDDLE VILLAGE
889082;LAUNDROMAT BROOME ST. CORP;GREEN CASTLE;519;BROOME STREET;;NEW YORK
894305;CHEN, SHAO JU;A & A LAUNDRY & DRY CLEAN;51-05;SKILLMAN AVENUE;;WOODSIDE
899498;KIM, KUN KWON;21 ST CENTURY       CLEANERS;129-02;GUY R BREWER BOULEVARD;;JAMAICA
902914;FANA WORKS INC;;860;MANHATTAN AVENUE;;BROOKLYN
916814;106 AUDUBON AVENUE LAUNDROMAT INC;;106;AUDUBON AVENUE;;NEW YORK
917049;SBM SUDS INC;SBM SUDS;1012;AMSTERDAM AVENUE;;NEW YORK
923831;A.C.J. INTERNATIONAL INC;DOWN TOWN CLEANERS;84;LIVINGSTON STREET;;BROOKLYN
925721;SUDZY INC;BEECHHURST WASH & DRY;25/Nov; 154 STREET;;WHITESTONE
928315;DOKKO, HWEE;HAPPY LAUNDRY;619;WEST  175 STREET;;NEW YORK
931871;NEW J AND K CORP;;145-05; 243 STREET;;ROSEDALE
938379;MADAME PAULETTE LIC LLC;;42-20;  12 STREET;;LONG ISLAND CTY
939608;RENOIR FRENCH CLEANERS & TAILORS INC;;79-06;  21 AVENUE;;JACKON HEIGHTS
940643;CARDINAL HESCOTT;MISS BUBBLES;3802;CHURCH AVENUE;;BROOKLYN
955029;PRESTIGE FIRST AVE. CLEANING CORP.;;646;   1 AVENUE;;NEW YORK
956589;LEE, JUNG WOO;18ST KINGS HIGHWAY LAUNDROMAT;1723;KINGS HIGHWAY;;BROOKLYN
957211;YOON, OK H;E-Z LAUNDROMAT;1731;RICHMOND ROAD;;STATEN ISLAND
970302;VILLAGE BLEACHERS LAUNDROMAT INC.;;34;EAST   11 STREET;;NEW YORK
971945;OFF-BROADWAY LAUNDROMAT INC;;224;WEST  104 STREET;;NEW YORK
975815;SY,KO, FUNG;EAST SIDE LAUNDROMAT & DRY CLEANER;1692;   2 AVENUE;;NEW YORK
977106;LUNG FAI LAUNDROMAT INC;;58-07;WOODSIDE AVENUE;;WOODSIDE
977257;RAMIREZ, MILTON;J & M LAUNDROMAT;190;AVENUE U;;BROOKLYN
979489;SUPERCLEAN SUPER LAUNDROMAT INC;;94-01;  37 AVENUE;;QUEENS
983834;5416 CORPORATION;;5211;   7 AVENUE;;BROOKLYN
989106;EDEN LAUNDROMAT INC.;;367;EAST  204 STREET;;BRONX
992706;1082 LAUNDROMAT CORP.;;1082;BOSTON ROAD;;BRONX
1014332;LEE, KANG MIN;CROSBY CLEANERS AND FURS;3279;WESTCHESTER AVENUE;;BRONX
1015194;SONG, CHIN S;183 ST LAUNDROMAT;182-42;HILLSIDE AVENUE;;QUEENS
1023314;AIRPORT LAUNDROMAT, INC;SUDS YA DUDS II LAUNDROMAAT;115-95;LEFFERTS BOULEVARD;;SO OZONE PARK
1024746;H.M. TANG CORP;;106;BAY RIDGE AVENUE;;BROOKLYN
1028092;RAMAKAH, SHAHEID & SHAHEID;R & S LAUNDROMAT;110;VAN SICLEN AVENUE;;BROOKLYN
1029362;LAUNDRY DEPOT OF N.Y. & N.J.,INC;;179-26;JAMAICA AVENUE;;JAMAICA
1032363;MILVERNIS ENTERPRISES LLC;;301;BROOK AVENUE;;BRONX
1036844;FOWLER INC.;;1386;METROPOLITAN AVENUE;;BRONX
1038240;FULTON ONE LAUNDROMAT INC;;666;FULTON STREET;;BROOKLYN
1040210;DIAMOND DRY CLEANER & LAUNDROMAT, INC.;;43-45;45 STREET;;SUNNYSIDE
1058619;DAISY LAUNDROMAT, INC;;69-15;CALAMUS AVENUE;;WOODSIDE
1059919;MF SOAP BOX LAUNDROMAT INC.;;247-01;JAMAICA AVENUE;;QUEENS
1006585;STYLE CLEANER & LAUNDRY CORP;;1737;   2 AVENUE;;NEW YORK
1009013;AHMED, HOSSAIN;S.H.F.F. LAUNDRY;328;HALSEY STREET;;BROOKLYN
1022880;HYLTON, DEBRAH;AKKD LAUNDROMAT;783;ST JOHN'S PLACE;;BROOKLYN
1024593;MIR INTERNATIONAL INC;;44-70;  21 STREET;;QUEENS
1027363;PREM'S LAUNDRY INC;;116-18; 101 AVENUE;;RICHMOND HILLS
1027468;MARDAN GROUP HOLDING CORP;;128A;WEST FORDHAM ROAD;;BRONX
1028429;SUD ZONE INC;SUD ZONE;29-06;  34 AVENUE;;QUEENS
1037600;FOWLER ROUTE CO., INC.;;1584;UNIONPORT ROAD;;BRONX
1059783;KLEEN WASH INC;;261A;BUFFALO AVENUE;;BROOKLYN
1061135;WASHMAN LAUNDRY CENTERS INC.;;72-16;ROOSEVELT AVENUE;;QUEENS
1074184;SHARON'S LAUNDRY SERVICE INC;;204;EAST   13 STREET;;NEW YORK
1077550;METRO LAUNDROMAT NY, INC.;;70-78;KISSENA BOULEVARD;;QUEENS
1085532;LAB-MART INC;;50;EAST END AVENUE;;NEW YORK
1088376;GADURAS LAUNDROMAT, INC.;;114-10; 101 AVENUE;;RICHMOND HILL
1089989;LAVANDERIA EXPRESS III, INC.;;476;SENECA AVENUE;;RIDGEWOOD
1097592;3N BUBBLES, INC;;13/Mar;27 AVENUE;;LONG ISLND CITY
1098069;GARCIA, RAFAEL A.;VESINO LAUNDROMAT;280;WOODBINE STREET;;BROOKLYN
1099462;CHOE, WON SOON;WSC SMITH LAUNDROMAT;137;SMITH STREET;;BROOKLYN
1100275;BARDENSHTEYN, OSKAR & SHMOLSVSKY,FAINA;VIN'S LAUNDROMAT CO;3221;QUENTIN ROAD;;BKLYN
1101475;BANACO LLC;;1515;LEXINGTON AVENUE;;NEW YORK
1105614;NAR DRY CLEANING, INC.;ROMANO DRIVE-IN CLEANERS;26-05;FRANCIS LEWIS BOULEVARD;;BAYSIDE
1106760;WATERFALL LAUNDROMAT CORPORATION, II;;234;EAST GUN HILL ROAD;;BRONX
1107262;CHENG WANG INC;;60-90;MYRTLE AVENUE;;RIDGEWOOD
1109358;AN CHI CORP;;141-12;NORTHERN BOULEVARD;;QUEENS
1116905;MASPETH WASH RITE CORPORATION;MASPETH WASH RITE LAUNDROMAT;73-50;GRAND AVENUE;;QUEENS
1117750;LEW, SAMMY;L.S.W. LAUNDROMAT;64-07;BROADWAY;;WOODSIDE
1121608;CIAMPA 21 LLC;;14-56;  31 DRIVE;;QUEENS
1121743;MGM LAUNDROMAT INC;;4012;BRONXWOOD AVENUE;;BRONX
1123445;GRAND DRY CLEANERS, INC.;;64-05;CENTRAL AVENUE;;QUEENS
1124787;HOST CARRERA INC;;90-02;  43 AVENUE;;QUEENS
1127845;CENTURY WASH & DRY INC;;127-19; 111 AVENUE;;SO OZONE PARK
1130332;FOURTEEN TOWER CORPORATION;;2;SOUTH END AVENUE;BATTERY PARK CITY;NEW YORK
1132944;SKC LAUNDROMAT INC.;CORPORATE CLEARANCE CORP.;286;SMITH STREET;;BROOKLYN
1134724;YUAN SHING LAUNDROMAT INC;;360;KNICKERBOCKER AVENUE;;BROOKLYN
1137639;ROOSEVELT LAUNDROMAT CORPORATION;;08/Dec;  36 AVENUE;;LONG ISLND CITY
1140398;2025 LAUNDROMAT CORP;;2025;PITMAN AVENUE;;BRONX
1146282;LUO, WEN ZHU;;36-28;WHITE PLAINS ROAD;;BRONX
1147410;TSYLYA'S WASH & DRY, INC;BUBBLES R US;107-16/18;ATLANTIC AVENUE;;RICHMOND HILL
1150405;ABSOLUTE LAUNDRY & CLEANERS CORP;;390;   2 AVENUE;;NEW YORK
1151945;DAVID, MARIA;HEGEMAN NEIGHBORHOOD LAUNDROMAT;609;HEGEMAN AVENUE;;BROOKLYN
1152924;4403 FT HAMILTON LLC;;4403;FT HAMILTON PARKWAY;;BROOKLYN
1155953;GUANG MING GROUP INC.;E & K LAUNDROMAT;2407;TRATMAN AVENUE;;BRONX
1156201;CHEN, PEI JUAN;MAH LAUNDROMAT;691;86TH STREET;;BROOKLYN
1156911;JASON'S LAUNDRY, INC.;;100-21;37TH AVENUE;;FLUSHING
1157125;IRA DIRT BUSTERS INC;;325;ATLANTIC AVENUE;;BROOKLYN
1157619;NASSAU LAUNDRY INC.;;124;NASSAU AVENUE;;BROOKLYN
1157939;HERKIMER LAUNDROMAT INC;;155;ROCKAWAY AVENUE;;BROOKLYN
1158077;103 CLEANERS INC.;;216;WEST  103 STREET;;NEW YORK
1158092;SUPER CLEAN CLEAN INC.;;7415;  15 AVENUE;;BROOKLYN
1158130;PARK'S NY CLEANERS INC;;104;WEST   17 STREET;;NEW YORK
1158142;SUNNY CLEAN USA, INC;;2407;  65 STREET;;BROOKLYN
1158664;LISA LAUNDROMAT INC.;;2921;AVENUE K;;BROOKLYN
1158850;LAGOS LAUNDROMAT INC;;330;EAST  209 STREET;;BRONX
1159611;ZOU, XIAO MING;BLUE SKY LAUNDROMAT;3740;   3 AVENUE;;BRONX
1003652;NELSON CLEANERS, INC;;2A;NELSON AVENUE;;STATEN ISLAND
1013469;TWO MI KIM CLEANERS INC;;40-18;CRESCENT STREET;;LONG ISLND CITY
1016565;D C CENTER CORP;;47-55;  48 STREET;;WOODSIDE
1017124;SONNY INDUSTRIES OF NEW YORK INC;CYCLE KING LAUNDROMAT;644;UTICA AVENUE;;BROOKLYN
1018056;BO BO LAUNDROMAT INC;;99-31;CORONA AVENUE;;CORONA
1022196;WESTCHESTER SUPER CLEAN LAUNDROMAT LLC;;2135;WESTCHESTER AVENUE;;BRONX
1024543;TINA'S LAUNDERMAT & DRY CLEANER, INC;;60-49;CATALPA AVENUE;;RIDGEWOOD
1025505;AUDOBON SUPER LAUNDROMAT INC;;282;AUDOBON AVENUE;;NEW YORK
1026232;CLEANER WASH INC;;1106;NOSTRAND AVENUE;;BROOKLYN
1028616;ULLAH, MOHAMED;NEIGHBORHOOD LAUNDRY;616;ROGERS AVENUE;;BROOKLYN
1028871;ALPHA OMEGA CLEANERS;;101-11A;QUEENS BOULEVARD;;FOREST HILLS
1028954;4305 CORPORATION;;4305;KATONAH AVENUE;;BRONX
1036855;FOWLER INC.;;1536;UNIONPORT ROAD;;BRONX
1037602;FOWLER ROUTE CO., INC;;1557;METROPOLITAN AVENUE;;BRONX
1038036;G & J LAUNDROMAT INC;;2618;DECATUR AVENUE;;BRONX
1040632;MISR LENOX CORP;;545;LENOX AVENUE;;NEW YORK
1072130;CLEAN RITE CENTER - 190-12 JAMAICA AVENUE LLC;;190-12;JAMAICA AVENUE;;QUEENS
1072351;STAR LAUNDROMAT CORP;;46-21;KISSENA BOULEVARD;;QUEENS
1074605;NEIGHBORHOOD LAUNDRY & CLEANERS, INC.;;71-70;YELLOWSTONE BOULEVARD;;QUEENS
1076827;DIKOMO INC;;30-98;  43 STREET;;QUEENS
1084665;PACHAMANA LAUNDROMAT CORP;;442C;LORIMER STREET;;BROOKLYN
1087962;THE ''4S'' CORP;;1835-1837;WHITE PLAINS ROAD;;BRONX
1089835;TAINO GOLD COIN LAUNDROMAT INC.;;2253;   3 AVENUE;;NEW YORK
1090304;SUPERIOR SUDS, INC.;;303;FLATBUSH AVENUE;;BROOKLYN
1091330;GONG'S LAUNDROMAT, INC.;;7324;  20 AVENUE;;BROOKLYN
1093134;YANG, RUI YUN;RUI YUN LAUNDROMAT;1906;AVENUE Y;1906-1910;BROOKLYN
1095331;M&D DOUBLE BUBBLE LAUNDROMAT, INC;;402;EAST  136 STREET;;BRONX
1097463;CHOIL WHITE EXPRESS, INC.;;43-28;  43 AVENUE;;SUNNYSIDE
1097527;88 LAUNDROMAT, INC;;2418;BROADWAY;;NEW YORK
1098753;HENRY STREET LAUNDROMAT CORPORATION;;416;HENRY STREET;;BROOKLYN
1100504;XIE, GUO QIN;XIE LAUNDROMAT;34-50;JUNCTION BOULEVARD;;JACKSON HEIGHTS
1106642;ELMHURST LAUNDRY CENTER INC;;45-12;  74 STREET;;ELMHURST
1111054;RQ ENTERPRISES, LLC;;728;WEST  181 STREET;;NEW YORK
1132582;OCEAN LAUNDRY CENTER INC.;;104;ST NICHOLAS AVENUE;;BROOKLYN
1132854;GA' ASIDE, INC;;275;NOSTRAND AVENUE;;BROOKLYN
1134677;BEST WINNER INC;;90-30;  43 AVENUE;;ELMHURST
1147627;HBH LAUNDRY CORP;ECO WASH;72;WEST   69 STREET;;NEW YORK
1155666;CASTLE HILL LAUNDROMAT, INC;;1203;CASTLE HILL AVENUE;;BRONX
1157807;JENNY LAUNDROMAT INC.;;1080;MYRTLE AVENUE;;BROOKLYN
1158113;CAMBRIDGE CLEANERS' INC.;;719;   2 AVENUE;;NEW YORK
1158219;YU, MEI-YING;M.Y LAUNDROMAT;31-08;  81 STREET;;JACKSON HEIGHTS
1158372;C & H WONDER LAUNDROMAT INC;;874;MANOR ROAD;;STATEN ISLAND
1159426;THOMPSON, DERYCK D;E N & S THOMPSON'S LAUNDROMAT;172;TOMPKINS AVENUE;;BROOKLYN
1159822;PURR-FECT CLEANERS, INC.;;232-17;MERRICK BOULEVARD;;QUEENS
1162381;SHERIDAN LAUNDROMAT INC.;;1539;SHERIDAN AVE;;BRONX
1164610;ALL AMERICAN SUDS, INC;;77-15;25TH AVENUE;;JACKSON HEIGHTS
1164774;472 ATLANTIC LAUNDROMAT INC;;472;ATLANTIC AVENUE;;BROOKLYN
1168637;812A CLEANERS CORP;;812A;FRANKLIN AVENUE;;BROOKLYN
1168992;1793 ACTION LAUNDROMAT INC;;1793;AMSTERDAM AVENUE;;NEW YORK
1169816;CLEAN O MATIC INC;;108-43;CORONA AVENUE;;QUEENS
1175322;ARLYNNE & PARTNERS LLC;;886;NOSTRAND AVENUE;;BROOKLYN
1175435;TAI SHAN LAUNDROMAT INC;;543;GRAND STREET;;BROOKLYN
1178709;AARYM DEVELOPMENT CORP;M & M COMMUNITY LAUNDRY;411;TOMPKINS AVENUE;;BROOKLYN
1180984;OLD NEIGHBORS LAUNDRY INC;;34-17;BROADWAY;;QUEENS
1014393;CHANG, HYO K.;CHANG'S LAUNDROMAT;171-67;  46 AVENUE;;QUEENS
1014980;CHEUK, SHUI YU;KING WONG LAUNDROMAT;14622;34TH AVE;;FLUSHING
1021982;CHUC, TRANG MY;FRIENDLY LAUNDROMAT;42-04; 108 STREET;;CORONA
1023836;HILLSIDE LAUNDROMAT, INC;SUPER CLEAN LAUNDROMAT;3391;BOSTON ROAD;;BRONX
1034024;CHA, HEE H;48TH AVENUE LAUNDROMAT;212-05;  48 AVENUE;;QUEENS
1036849;FOWLER INC;;1660;METROPOLITAN AVENUE;;BRONX
1039477;LI, KAI LEUNG;LEE'S LAUNDROMAT;74-15;WOODSIDE AVENUE;;QUEENS
1039922;MEKONG LAUNDROMAT & CLEANERS INC;;1612;YORK AVENUE;;NEW YORK
1039932;CLEAN RITE CENTERS- 1760 EASTERN PARKWAY LLC;;1760;EASTERN PARKWAY;;BROOKLYN
1040294;BENFICA INC;SPLASH LAUNDROMAT;159-35;CROSS BAY BOULEVARD;;QUEENS
1058731;OLD BROADWAY LAUNDROMAT, CORP;;3643;BROADWAY;;NEW YORK
1058877;CHON, MYUNG;1403 NECK ROAD LAUNDROMAT;1403;GRAVESEND NECK ROAD;FIRST FLOOR;BROOKLYN
1063628;SECOND CYCLE INC;;6111;   4 AVENUE;;BROOKLYN
1064470;CLEAN RITE CENTER, 762 SHEFFIELD AVE, LLC;;762;SHEFFIELD AVENUE;;BROOKLYN
1064947;G & J LAUNDERETTE INC.;;60-37;FRESH POND ROAD;;QUEENS
1067648;JH LAUNDROMAT CORP.;;118;NAGLE AVENUE;;NEW YORK
1069816;WATER FALL LAUNDROMAT INC;;217;SHERMAN AVENUE;;NEW YORK
1073164;CHO, BIK FA;RAINBOW LAUNDROMAT;83-09;GRAND AVENUE;;QUEENS
1077697;J.J. LAUNDROMAT CORP.;;315;EAST  166 STREET;;BRONX
1089332;NGUYEN, TUYEN T;P AND T LAUNDROMAT;786;LYDIG AVENUE;;BRONX
1094736;DONALD LEUNG & HANG SIM CHAN LEUNG;D & H LAUNDROMAT;2026;AVENUE X;;BROOKLYN
1097365;PACIFIC GEM, INC;MICKY'S LAUNDROMAT;82-37A; 153 AVENUE;;QUEENS
1097810;MEYO, RODOLFO;JOEY'S CLEANERS;1244;EAST GUN HILL ROAD;;BRONX
1099785;1631 LTD;;1631;WESTCHESTER AVENUE;;BRONX
1101342;Z.H. ASTORIA ENTERPRISES INC;;20-20;  21 AVENUE;;ASTORIA
1102497;ED'S LAUNDRY, CORP;;76-02;  21 AVENUE;;EAST ELMHURST
1102804;158 LAUNDROMAT CORP.;;158-19;HORACE HARDING EXPRESSWAY;AKA 158-11/27;FLUSHING
1104674;BROADWAY SUPERCLEAN SUPER LAUNDROMAT INC;;1150;BROADWAY;;BROOKLYN
1105096;I. TENERIFE CORP.;;75-33;PARSONS BOULEVARD;;QUEENS
1111818;TORRES, EMILIO;EMILIO'S LAUNDROMAT;100;COVERT STREET;;BROOKLYN
1111874;SPARKLEAN LAUNDRY INC;;291-293;SCHENECTADY AVENUE;;BROOKLYN
1124697;2987 FULTON STREET INC;;2987;FULTON STREET;;BROOKLYN
1125110;E Z SPIN LAUNDROMAT INC;;603-609;EAST  137 STREET;;BRONX
1132783;NEW HEAVEN ENTERPRISES, INC;;82-20;  63 AVENUE;;QUEENS
1135262;FU LAI LAUNDROMAT INC;;693;FLATBUSH AVENUE;;BROOKLYN
1138378;K & L LAUNDROMAT INC;;3012;AVENUE D;;BROOKLYN
1141543;SKY BLUE LAUNDROMAT,INC.;;243;EAST  204 STREET;;BRONX
1151585;WOODSIDE SUPER LAUNDRY INC.;;61-04;39 AVENUE;;WOODSIDE
1152550;R & C LAUNDROMAT INC;;274;  56 STREET;;BROOKLYN
1154004;MANK, LTD.;SOAPY'S LAUNDRY CENTER;274;BAY RIDGE PARKWAY;;BROOKLYN
1155203;NEW D & W LAUNDROMAT INC.;;4504;   8 AVENUE;;BROOKLYN
1156351;LAVANDERIA EXPRESS CORP.;;687;KNICKERBOCKER AVENUE;;BROOKLYN
1157658;VILLAGE WASH LAUNDROMAT INC.;;216-19;  90 AVENUE;;QUEENS VILLAGE
1158134;ON TIME EAST CLEANERS INC.;;477;   3 AVENUE;;NEW YORK
1158447;CLASSIC LAUNDRY CENTER JEROME, INC.;;2371;JEROME AVENUE;;BRONX
1158516;WANG, CHANG, HUA;CYPRESS LAUNDROMAT;316;CYPRESS AVENUE;;BRONX
1158517;MBJ DRY CLEANERS CORP.;;297;IRVING AVENUE;;BROOKLYN
1160185;J.M.B. LAUNDROMAT CORP;;102-20;NORTHERN BOULEVARD;;QUEENS
1164781;BRONX WONDERFUL LAUNDROMAT INC;;1470-1478;WESTCHESTER AVENUE;;BRONX
1166391;A & R NORTHERN BLVD INC;;96-01;NORTHERN BOULEVARD;;CORONA
1170728;JEON, BYUNG HYUN;J. MIDWOOD LAUNDROMAT;1416;CONEY ISLAND AVENUE;;BROOKLYN
1172184;NEW GIANT LAUNDER CENTER CORP;;113-20;JAMAICA AVENUE;;RICHMOND HILL
1172555;YOON, KIWOOK;O.K. CLEANER;84-11;ELMHURST AVENUE;;QUEENS
1020277;CARBALLO, MIRIAM;M & W LAUNDROMAT;995;MANHATTAN AVENUE;;BROOKLYN
1022144;CENTRAL LAUNDRY SERVICE CORP;;46;CROWN STREET;;BROOKLYN
1023415;YUHHSAN, INC;;61;WEST   74 STREET;;NEW YORK
1024190;TAVERAS, ISMAEL;GRAHAM LAUNDROMAT;174;GRAHAM AVENUE;;BROOKLYN
1024998;CHESTERFIELD CLEANERS CO .INC.;;409;AMSTERDAM AVENUE;;NEW YORK
1025267;LUM, ALFONSO;HILLSIDE LAUNDROMAT;147-12;HILLSIDE AVENUE;;JAMAICA
1025302;JONES, KAREN E;KAREN'S LAUNDRY;103-12;ASTORIA BOULEVARD;;EAST ELMHURST
1026101;PALAGUACHI, JOSE M.;FRAN TONE CLEANERS;6222;  11 AVENUE;;BROOKLYN
1027140;LEE'S LAUNDROMAT CORP;;1848;CONEY ISLAND AVENUE;;BROOKLYN
1027484;MANLEY LAUNDROMAT INC;;166;HENRY STREET;;NEW YORK
1027635;YOUNG LAUNDROMAT & DRY CLEANER INC;;52-69;  65 PLACE;;MASPETH
1029758;1663 CLEANERS INC;QUICK AS WINK;1498;EAST AVENUE;;BRONX
1033139;SIEGEL, MARAL;NEWNESS BRIGHTNESS HAPPINESS FULNESS;158-06;  84 DRIVE;;JAMAICA
1039336;SUNNY COIN-OP CORP;;1702;CHURCH AVENUE;;BROOKLYN
1063795;193 CORP;;193;HIMROD STREET;;BROOKLYN
1065813;L.L.I. LAUNDROMAT LTD;;361;LENOX AVENUE;;NEW YORK
1070760;FRATELLO LAUNDERIA INC;;4610;BEDFORD AVENUE;;BROOKLYN
1081299;RINSE CYCLE CORPORATION;;98-18;ROCKAWAY BEACH BOULEVARD;;ROCKAWAY PARK
1088993;JOHNSON, BELIGNA S;THREE STARS LAUNDROMAT;439;MYRTLE AVENUE;;BROOKLYN
1090640;NEW ANSONIA CLEANING, LLC;;230;WEST   74 STREET;;NEW YORK
1097972;KUANG, BAO YU;6738 LAUNDROMAT;6738;   5 AVENUE;;BROOKLYN
1098948;KALLIOPE'S SUNNY SUDS, LLC;;39-43;  43 AVENUE;;SUNNYSIDE
1100963;842 RALPH AVE LAUNDRY, INC;;842;RALPH AVENUE;;BROOKLYN
1101571;LOKENATH LAUNDROMAT INC;;41-20;JUNCTION BOULEVARD;;QUEENS
1102088;HOI KWAN TSUI & HOI MING TSUI;OCEAN LAUNDROMAT;7520;  18 AVENUE;;BROOKLYN
1105406;YANG GUANG CHAO & XIAO MING ZHANG;Y & Z LAUNDRY;1692;GROVE STREET;;RIDGEWOOD
1107293;A.A.A.C. CORP.;;1599;MCDONALD STREET;;BROOKLYN
1117097;STEPHEN, ELAVUANKAL M.;STAR LAUNDROMAT;89;WYCKOFF AVENUE;;BROOKLYN
1127399;JANET WASH & DRY CLEAN INC;;130-03; 101 AVENUE;;RICHMOND HILL
1140806;B & P LAUNDROMAT OF NY INC;;7320;   5 AVENUE;;BROOKLYN
1148665;4841 WASHRITE CORP;WASHRITE;4841;BROADWAY;;NEW YORK
1152603;JIA JIA LAUNDROMAT INC;;1888;ARCHER STREET;1888/1886;BRONX
1154216;MR. CLEAN LAUNDROMAT CORP.;;210;EAST  167TH STREET;;BRONX
1154472;GOLD COIN II LAUNDRY, CORP;TOWN LAUNDROMAT;83-20;NORTHERN BOULEVARD;;QUEENS
1158001;RAHMAN, MOHAMMED M;LIBERTY SUPER CLEAN LAUNDROMAT;401;CORTELYOU ROAD;;BROOKLYN
1158100;Q & Y LAUNDROMAT INC;;149-56;  14 AVENUE;;WHITESTONE
1158127;PARK'S NY CLEANERS INC;NY LAUNDROMAT;105;WEST   16 STREET;;NEW YORK
1158362;ATLANTIC SUPER LAUNDROMAT, LLC;;100-25;ATLANTIC AVENUE;;RICHMOND HILL
